code,description,chapter,chapter_desc,section,section_desc,inclusion_terms,includes,excludes1,excludes2,use_additional_code,code_first,notes,seven_char_note,seven_char_def_extensions,seven_char_def_notes,parent_codes
A00,Cholera,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],[],[],[],[],[],[],{},[],[]
A01,Typhoid and paratyphoid fevers,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],[],[],[],[],[],[],{},[],[]
A02,Other salmonella infections,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],['infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi'],[],[],[],[],[],[],{},[],[]
A03,Shigellosis,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],[],[],[],[],[],[],{},[],[]
A04,Other bacterial intestinal infections,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],"['bacterial foodborne intoxications, NEC (A05.-)', 'tuberculous enteritis (A18.32)']",[],[],[],[],[],{},[],[]
A05,"Other bacterial foodborne intoxications, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],"['Clostridium difficile foodborne intoxication and infection (A04.7-)', 'Escherichia coli infection (A04.0-A04.4)', 'listeriosis (A32.-)', 'salmonella foodborne intoxication and infection (A02.-)', 'toxic effect of noxious foodstuffs (T61-T62)']",[],[],[],[],[],{},[],[]
A06,Amebiasis,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],['infection due to Entamoeba histolytica'],['other protozoal intestinal diseases (A07.-)'],"['acanthamebiasis (B60.1-)', 'Naegleriasis (B60.2)']",[],[],[],[],{},[],[]
A07,Other protozoal intestinal diseases,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],[],[],[],[],[],[],{},[],[]
A08,Viral and other specified intestinal infections,1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),[],[],"['influenza with involvement of gastrointestinal tract (J09.X3, J10.2, J11.2)']",[],[],[],[],[],{},[],[]
A09,"Infectious gastroenteritis and colitis, unspecified",1,Certain infectious and parasitic diseases (A00-B99),,Intestinal infectious diseases (A00-A09),"['Infectious colitis NOS', 'Infectious enteritis NOS', 'Infectious gastroenteritis NOS']",[],"['colitis NOS (K52.9)', 'diarrhea NOS (R19.7)', 'enteritis NOS (K52.9)', 'gastroenteritis NOS (K52.9)', 'noninfective gastroenteritis and colitis, unspecified (K52.9)']",[],[],[],[],[],{},[],[]
A15,Respiratory tuberculosis,1,Certain infectious and parasitic diseases (A00-B99),,Tuberculosis (A15-A19),[],[],[],[],[],[],[],[],{},[],[]
A17,Tuberculosis of nervous system,1,Certain infectious and parasitic diseases (A00-B99),,Tuberculosis (A15-A19),[],[],[],[],[],[],[],[],{},[],[]
A18,Tuberculosis of other organs,1,Certain infectious and parasitic diseases (A00-B99),,Tuberculosis (A15-A19),[],[],[],[],[],[],[],[],{},[],[]
A19,Miliary tuberculosis,1,Certain infectious and parasitic diseases (A00-B99),,Tuberculosis (A15-A19),[],"['disseminated tuberculosis', 'generalized tuberculosis', 'tuberculous polyserositis']",[],[],[],[],[],[],{},[],[]
A20,Plague,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],['infection due to Yersinia pestis'],[],[],[],[],[],[],{},[],[]
A21,Tularemia,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],"['deer-fly fever', 'infection due to Francisella tularensis', 'rabbit fever']",[],[],[],[],[],[],{},[],[]
A22,Anthrax,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],['infection due to Bacillus anthracis'],[],[],[],[],[],[],{},[],[]
A23,Brucellosis,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],"['Malta fever', 'Mediterranean fever', 'undulant fever']",[],[],[],[],[],[],{},[],[]
A24,Glanders and melioidosis,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],[],[],[],[],[],[],[],{},[],[]
A25,Rat-bite fevers,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],[],[],[],[],[],[],[],{},[],[]
A26,Erysipeloid,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],[],[],[],[],[],[],[],{},[],[]
A27,Leptospirosis,1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],[],[],[],[],[],[],[],{},[],[]
A28,"Other zoonotic bacterial diseases, not elsewhere classified",1,Certain infectious and parasitic diseases (A00-B99),,Certain zoonotic bacterial diseases (A20-A28),[],[],[],[],[],[],[],[],{},[],[]
A30,Leprosy [Hansen's disease],1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],['infection due to Mycobacterium leprae'],['sequelae of leprosy (B92)'],[],[],[],[],[],{},[],[]
A31,Infection due to other mycobacteria,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],"['leprosy (A30.-)', 'tuberculosis (A15-A19)']",[],[],[],[],{},[],[]
A32,Listeriosis,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],['listerial foodborne infection'],['neonatal (disseminated) listeriosis (P37.2)'],[],[],[],[],[],{},[],[]
A33,Tetanus neonatorum,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A34,Obstetrical tetanus,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A35,Other tetanus,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),['Tetanus NOS'],[],"['obstetrical tetanus (A34)', 'tetanus neonatorum (A33)']",[],[],[],[],[],{},[],[]
A36,Diphtheria,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A37,Whooping cough,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A38,Scarlet fever,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],['scarlatina'],[],['streptococcal sore throat (J02.0)'],[],[],[],[],{},[],[]
A39,Meningococcal infection,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],[],[],[],[],[],[],{},[],[]
A40,Streptococcal sepsis,1,Certain infectious and parasitic diseases (A00-B99),,Other bacterial diseases (A30-A49),[],[],"['neonatal (P36.0-P36.1)', 'puerperal sepsis (O85)', 'sepsis due to Streptococcus, group D (A41.81)']",[],[],"[', if applicable, postprocedural sepsis (T81.44-)', 'sepsis due to central venous catheter (T80.211-)', 'streptococcal sepsis during labor (O75.3)', 'streptococcal sepsis following abortion or ectopic or molar pregnancy (O03.37, O03.87, O04.87, O07.37, O08.82)', 'streptococcal sepsis following immunization (T88.0-)', 'streptococcal sepsis following infusion, transfusion or therapeutic injection (T80.22-, T80.29-)']",[],[],{},[],[]
